product,measure,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь
Рис среднезерный,1 кг,23.30,23.84,24.92,25.33,25.81,25.92,26.53,27.03,28.11,29.20,28.65,28.38,28.96,29.23,29.39,29.37,29.37,32.65,32.85,33.07,33.15,32.91,33.07,33.08,33.59,33.60,33.54,33.46,33.44,33.52,33.74,33.98,34.61,35.59,35.32,35.19,35.27,36.04,36.14,36.38,44.60,50.39,52.26,54.53,54.33,55.19,55.68,54.75,54.70,54.28,54.60,59.66,66.94,67.41,66.71,66.85,65.01,63.38,62.19,60.02,59.08,58.80,57.69,56.76,57.02,57.49,58.99,61.13,61.57,61.86,62.19,62.68,62.56,62.69,63.09,63.60,63.90,64.63,65.46,65.81,65.30,65.11,65.28,66.04,66.59,66.61,66.46,66.55,66.48,66.46,67.07,67.95,68.02,67.61,65.48,65.85,67.18,67.90,67.93,67.98,68.63,68.67,68.60,69.76,70.08,71.28,70.56,70.76,71.55,71.96,74.07,74.70,76.19,77.38,79.27,80.15,79.78,78.97,79.23,81.51,81.95,82.23,82.77,82.93,83.31,83.43,83.83,85.21,85.65,84.86,84.45,83.48,83.11,82.48,80.90,79.73,78.29,76.84,76.46,76.32,77.20,77.13,76.50,75.31,73.80,73.65,72.46,71.41,71.32,70.99,70.64,70.07,69.33,68.67,69.04,69.19,69.85,69.76,70.16,70.35,70.37,70.62,71.46,71.75,71.43,70.99,70.66,70.74,71.08,71.01,71.63,72.32,72.61,73.45,74.57,75.99,76.95,77.10,77.42,78.22,78.08,78.08,79.07,80.95,81.35,81.22,81.01,81.05,81.11,80.73,81.06,81.83,81.59,80.54,80.18,80.20,80.00,80.81,81.35,81.05,80.99,81.34,81.52,81.97,82.71,83.19,84.67,86.30,86.52,87.01,87.90,85.80,86.84,87.41,88.23,92.20,96.53,103.39,107.48,112.08,117.66,128.42,134.81,140.40,142.98,143.25,144.15,143.46,143.82,144.50,144.04,144.80,,,,,,,,
Рис длиннозерный,1 кг,25.48,25.59,25.67,29.06,28.12,28.06,28.63,28.90,29.68,30.01,29.75,29.62,29.78,30.01,30.09,30.27,30.27,38.33,38.96,35.44,35.45,35.56,35.56,35.56,37.20,37.09,37.09,37.08,37.03,36.78,36.78,36.14,36.84,37.20,37.13,37.09,37.51,37.51,37.51,37.55,45.75,56.20,59.36,73.09,74.99,75.17,75.19,74.54,74.69,74.68,75.04,76.76,78.81,79.01,75.26,75.50,74.73,73.55,73.36,71.58,70.76,69.94,69.76,68.87,68.17,68.22,67.85,68.54,67.95,67.96,67.81,68.24,71.55,71.73,71.28,70.17,70.27,72.25,74.85,76.40,72.06,70.76,70.92,71.38,72.09,72.31,72.67,69.34,65.96,66.06,66.13,66.57,66.41,66.24,66.98,68.27,68.36,69.32,69.39,69.43,69.41,69.46,69.54,69.73,70.60,72.24,72.96,73.27,74.71,76.76,73.35,73.79,74.51,74.61,76.26,77.83,78.97,79.20,79.90,82.87,83.37,84.70,85.51,85.63,84.88,84.55,84.30,84.54,85.05,85.75,84.63,84.93,83.28,82.96,82.15,81.53,81.94,81.44,81.09,80.95,82.40,84.37,84.68,83.08,83.72,83.68,84.21,83.72,83.87,83.90,83.01,81.96,81.56,81.12,81.58,81.62,82.53,82.80,81.97,82.85,83.41,83.18,83.47,82.99,83.96,84.16,84.34,84.65,83.91,83.65,83.55,83.92,83.50,83.41,83.68,84.17,84.27,84.91,86.18,85.94,85.87,85.95,86.57,87.31,88.73,89.45,90.25,90.26,90.05,90.79,90.99,93.10,93.58,93.63,93.88,93.48,93.27,95.21,95.02,95.07,95.69,97.18,100.24,103.53,105.50,106.66,112.30,121.36,123.91,126.11,126.91,127.70,128.73,130.21,131.05,131.69,132.31,134.26,136.68,138.41,141.45,145.10,146.83,148.79,150.24,152.74,153.89,153.35,152.63,151.26,150.56,151.99,,,,,,,,
Мука пшеничная высшего сорта,1 кг,18.19,18.21,18.23,18.34,18.34,18.33,18.31,17.64,17.57,17.52,17.50,17.44,17.43,17.39,17.39,17.38,17.37,17.38,17.55,17.57,17.65,17.71,17.81,17.88,18.05,18.55,18.55,18.57,18.47,18.58,19.12,22.29,27.17,36.59,33.85,31.64,30.18,30.00,32.04,33.09,33.89,35.86,35.31,34.90,34.53,33.69,33.48,32.98,31.83,30.06,29.28,27.59,26.08,26.48,26.26,25.85,25.34,25.16,25.05,24.95,24.85,24.72,24.66,24.56,24.62,24.67,25.22,28.43,31.21,31.73,32.57,33.29,34.02,35.54,38.25,38.80,38.54,38.23,38.11,37.61,35.25,34.30,33.10,31.82,31.16,30.87,30.67,30.56,30.17,29.68,30.70,34.29,34.40,36.43,37.10,37.10,37.10,37.15,37.17,36.97,36.91,36.76,36.27,36.32,36.49,37.00,36.98,36.98,37.46,37.97,38.67,38.96,39.12,39.30,39.76,40.09,40.13,40.29,41.87,43.22,42.85,42.53,42.47,42.38,42.70,42.42,42.45,42.30,42.27,42.20,42.13,42.17,42.44,41.69,40.46,40.16,39.86,39.52,39.42,39.19,39.15,38.84,38.50,38.76,38.37,38.37,38.49,38.78,38.60,38.63,38.60,38.37,38.48,38.56,38.90,38.80,38.65,38.44,38.03,37.88,37.71,37.75,37.80,37.56,37.33,37.36,37.76,37.67,37.55,36.91,36.99,37.14,37.13,37.11,37.38,37.40,37.41,38.89,41.78,42.35,42.23,42.31,45.20,48.21,46.27,46.31,46.62,46.66,46.84,47.72,47.85,48.05,48.15,48.32,48.49,48.94,48.39,48.30,48.66,49.21,49.32,49.92,50.54,51.45,52.35,53.18,56.79,57.22,59.15,60.91,62.81,63.76,63.87,63.86,64.29,64.01,64.26,63.99,64.05,63.19,62.71,63.24,63.17,62.78,63.71,66.51,65.96,65.68,66.11,67.35,67.66,67.81,,,,,,,,
Мука пшеничная первого сорта,1 кг,14.84,14.87,14.93,15.09,15.02,14.99,14.96,14.32,14.29,14.27,14.27,14.25,14.23,14.10,14.09,14.08,14.09,14.11,14.30,14.36,14.41,14.50,14.66,14.67,14.70,14.77,14.77,14.79,14.81,14.92,15.44,18.76,21.71,30.78,27.12,24.30,24.29,24.43,26.24,26.77,28.35,30.87,30.75,30.37,29.63,28.56,27.39,26.66,25.26,23.63,23.07,22.10,21.05,21.01,20.31,19.77,19.31,19.22,19.11,18.87,18.73,18.67,18.56,18.37,18.17,18.27,19.04,22.46,24.68,25.45,26.79,27.77,28.30,30.03,33.34,33.51,32.89,32.29,31.91,31.23,28.98,28.44,27.71,26.96,25.53,24.74,24.41,24.29,23.85,23.47,24.38,27.77,28.42,30.98,31.24,31.09,30.83,30.98,30.92,30.55,30.17,29.84,29.63,29.79,29.43,29.70,29.59,29.65,29.76,30.07,30.74,30.88,31.46,31.77,31.97,32.07,32.30,32.92,34.42,35.10,34.86,34.69,34.86,34.78,34.82,34.71,34.71,34.93,34.84,34.77,34.74,34.38,34.31,33.46,32.33,31.60,31.42,31.03,30.29,29.99,29.81,29.87,29.74,29.87,29.52,29.55,29.49,29.69,29.62,29.31,29.18,29.07,29.06,29.09,29.52,29.54,29.49,29.45,29.35,29.27,29.23,29.27,29.18,29.08,29.08,29.25,29.20,29.19,29.14,29.31,29.65,29.86,30.04,29.99,30.13,30.27,30.30,31.11,32.96,33.55,33.47,33.48,37.31,40.29,38.61,38.62,39.09,39.24,39.24,39.44,39.40,39.44,39.54,39.40,39.03,39.01,38.69,38.49,38.65,39.18,39.41,39.96,40.42,40.99,41.38,41.68,45.11,47.43,48.65,50.08,51.38,51.78,51.68,51.79,52.34,52.33,52.54,52.41,52.23,51.67,51.25,51.09,51.24,51.09,51.91,53.77,52.85,52.66,52.48,52.83,52.75,52.45,,,,,,,,
Крупа манная,1 кг,22.03,21.99,21.99,22.03,22.01,22.01,21.52,21.31,21.31,19.83,19.82,19.83,19.94,20.52,20.75,20.92,21.00,20.98,21.11,21.15,21.24,21.25,21.27,21.25,21.25,20.79,20.80,21.03,21.40,21.50,21.48,21.78,22.42,23.54,25.57,25.55,27.80,27.91,28.26,28.39,29.84,33.04,33.06,33.55,33.87,33.95,35.03,37.00,37.17,37.17,36.99,36.97,37.07,37.22,36.05,36.07,35.94,35.84,36.23,36.85,37.61,37.81,37.82,36.31,36.40,35.69,35.99,36.92,38.69,38.97,39.56,40.55,41.41,42.24,43.80,45.25,45.30,46.69,49.60,50.68,49.89,49.69,49.62,49.49,49.19,49.20,49.03,47.91,47.78,48.00,47.71,47.67,47.77,47.91,47.91,47.44,47.90,47.80,47.58,47.63,47.65,47.69,47.74,49.77,52.88,54.12,54.50,59.10,59.88,60.08,60.80,61.37,61.90,61.17,60.17,59.69,60.70,59.38,59.83,60.50,60.52,60.74,61.02,61.49,61.61,61.71,61.49,59.45,59.62,60.00,60.21,60.36,61.23,61.19,61.20,61.31,61.23,60.72,60.21,59.98,60.08,60.14,60.19,60.00,59.76,59.95,59.78,60.00,60.26,60.49,61.01,61.01,61.31,60.50,59.44,59.37,60.01,59.82,59.86,59.22,58.65,58.66,58.51,58.33,58.18,58.00,57.58,57.51,57.70,57.82,57.92,57.66,57.54,57.56,57.47,57.37,57.48,57.37,57.37,57.93,57.92,57.97,58.04,58.86,59.40,59.62,59.98,60.50,61.24,61.12,61.26,61.28,61.01,61.69,62.09,62.26,62.26,62.27,62.20,62.17,62.24,63.34,63.70,64.07,65.42,67.14,67.79,68.31,68.82,69.75,70.46,71.47,71.94,72.30,72.82,72.90,75.07,76.19,76.45,76.82,78.11,79.07,79.09,78.86,78.62,79.21,78.78,78.86,78.86,78.87,79.34,80.48,,,,,,,,
Пшено,1 кг,23.71,23.68,23.63,23.56,23.58,23.59,20.51,20.45,20.28,19.94,19.86,19.91,19.94,19.93,20.30,20.17,20.14,20.13,20.83,20.82,20.88,20.88,20.87,20.86,20.84,20.54,20.54,20.56,20.93,20.92,20.92,21.10,21.41,21.74,21.99,22.21,23.98,25.32,26.18,26.34,28.50,30.72,31.07,31.69,32.24,32.32,34.20,36.84,-,-,-,-,-,-,-,-,-,-,31.08,32.08,31.79,30.98,30.91,32.22,32.12,32.23,32.57,32.60,32.82,34.23,34.94,35.60,43.39,56.72,66.15,72.45,74.07,77.21,80.18,80.66,79.66,79.47,80.37,78.73,75.88,75.34,67.79,64.37,62.09,61.19,59.11,58.79,58.84,59.39,59.15,58.84,58.16,58.10,58.04,58.05,57.96,57.68,57.64,58.03,54.59,54.71,53.85,53.28,54.14,54.58,55.04,54.01,54.09,53.69,51.65,50.86,51.07,51.80,53.94,56.84,57.39,57.70,57.46,56.68,56.60,56.50,56.54,56.55,56.53,57.13,56.83,56.75,56.31,56.27,55.83,55.77,55.74,55.61,54.64,53.31,53.08,49.23,50.20,49.95,52.10,51.52,52.20,51.39,50.81,50.36,50.52,50.16,50.06,48.99,48.28,48.22,47.90,48.11,48.34,48.14,48.13,48.31,48.53,48.59,48.37,48.57,48.86,71.42,76.26,75.19,75.06,76.01,74.68,75.34,75.91,75.73,75.85,76.01,76.01,76.27,75.50,74.90,74.17,75.01,74.65,74.47,73.46,73.05,71.79,70.90,70.88,70.78,71.34,69.45,68.60,68.09,67.21,66.56,66.57,66.10,65.84,66.48,66.93,67.03,67.25,68.57,68.87,69.54,69.51,69.95,69.85,69.83,70.22,71.22,71.89,72.53,72.75,72.20,72.65,73.05,73.18,73.33,72.56,72.39,72.24,72.23,72.45,73.06,73.17,72.74,72.78,72.42,,,,,,,,
Хлеб из пшеничной муки 1 сорта,1 кг,15.42,15.43,15.46,15.50,15.46,15.45,15.42,15.34,15.34,14.88,14.88,14.89,14.89,14.86,14.86,14.86,14.86,14.86,15.15,15.14,15.14,15.16,15.27,16.23,16.23,16.29,16.37,16.37,16.39,16.51,17.42,19.39,22.19,30.39,28.94,27.86,27.81,27.75,28.73,29.71,31.13,32.96,33.29,33.36,33.39,33.37,33.33,32.70,31.59,31.57,31.40,30.47,30.16,30.16,30.16,30.16,29.91,28.90,28.13,28.00,28.00,28.36,28.35,28.35,28.31,28.45,28.82,30.30,32.36,33.14,34.78,35.15,35.36,36.44,38.52,38.78,38.08,38.07,38.03,38.00,37.69,37.55,37.25,36.35,36.11,35.90,35.63,35.61,35.58,35.48,36.27,39.69,39.81,42.39,42.77,42.81,42.82,42.80,42.77,42.60,42.16,41.98,41.86,41.95,41.98,41.86,41.87,41.84,41.99,42.05,42.67,41.64,41.76,42.06,42.61,42.89,42.92,42.88,44.34,45.40,46.22,45.95,45.85,45.81,45.81,45.81,45.73,45.60,45.59,45.59,45.65,45.31,45.50,45.27,45.14,44.89,43.70,43.51,43.39,43.37,43.54,43.47,43.33,43.27,44.20,44.15,44.32,44.50,44.35,44.36,44.36,44.36,44.41,44.43,44.73,44.59,44.43,44.12,44.12,44.13,44.35,44.41,44.47,44.23,44.21,44.22,44.03,43.94,43.96,44.01,44.37,44.38,44.38,44.18,43.98,43.96,43.95,44.44,45.90,46.36,46.31,46.18,46.34,47.59,47.84,47.79,47.67,47.69,47.68,48.24,48.36,48.41,48.47,48.87,49.03,49.20,49.30,49.10,49.99,51.58,51.65,51.67,53.17,55.07,55.56,56.01,57.86,60.29,60.82,61.16,62.57,62.80,63.31,63.74,63.88,63.80,63.99,63.97,64.13,64.16,64.27,64.17,64.08,64.97,65.65,67.70,66.63,66.17,65.83,66.05,66.47,66.43,,,,,,,,
Лепешка,1 кг,19.04,19.12,19.16,19.15,19.08,19.06,19.06,18.86,18.86,18.99,18.88,19.02,19.02,18.90,18.85,18.82,18.82,18.84,18.90,19.18,19.44,19.95,20.01,20.37,20.37,20.47,20.47,20.52,20.57,20.74,22.14,26.35,31.08,39.45,37.44,35.17,35.12,35.00,35.08,35.23,35.97,39.06,39.08,39.07,39.10,39.05,39.14,39.23,39.06,37.96,37.29,37.08,36.90,36.87,36.45,36.34,36.39,36.39,36.44,36.31,36.28,36.27,36.25,36.25,36.02,35.98,36.13,37.37,38.95,40.01,41.89,42.23,42.30,43.39,44.30,43.84,43.84,43.62,43.60,43.57,43.25,43.16,43.09,43.00,42.89,42.76,42.55,42.55,42.54,42.52,43.64,49.00,49.16,50.96,51.73,51.74,51.86,51.86,52.20,52.30,52.03,51.95,51.92,51.92,51.68,51.59,51.55,52.18,52.38,53.27,53.36,55.12,55.12,55.19,55.80,57.32,57.42,57.74,61.22,62.30,61.94,61.45,61.31,60.69,60.74,60.79,61.01,61.31,60.46,60.67,60.66,61.59,61.57,61.89,61.96,61.97,59.93,59.43,59.60,59.40,59.37,59.78,59.50,59.53,60.77,60.71,60.70,60.68,60.63,60.47,60.88,60.89,60.89,61.09,61.19,61.11,61.07,61.09,61.18,61.27,61.27,61.34,61.33,61.33,61.38,61.36,61.03,60.86,60.86,60.94,61.25,61.28,61.27,61.27,61.28,61.29,61.28,61.43,62.97,64.51,64.46,64.33,64.66,65.48,65.31,65.08,64.74,64.50,64.55,64.97,65.09,66.32,68.02,68.11,68.23,67.88,67.81,67.91,68.76,71.51,72.12,75.21,76.59,77.76,79.14,79.58,82.76,84.69,85.06,85.53,86.31,86.94,87.44,87.69,88.60,89.64,89.67,89.74,89.76,89.90,89.87,89.68,89.85,90.06,92.85,99.91,99.77,98.70,97.24,96.85,97.51,97.48,,,,,,,,
Макаронные изделия,1 кг,21.79,21.82,21.90,21.95,22.69,22.70,22.68,22.67,22.68,22.69,22.69,22.66,22.65,22.63,22.65,22.82,22.81,22.80,24.32,24.32,24.33,24.39,24.36,24.38,24.62,24.62,24.62,24.69,25.45,25.43,25.52,27.60,29.93,41.82,42.85,42.69,41.82,41.80,42.05,43.93,45.29,49.43,49.36,49.24,49.09,49.04,49.25,49.49,48.83,48.01,47.34,47.04,46.63,46.53,46.27,45.29,44.91,44.95,44.81,44.69,44.10,43.96,43.98,43.76,44.05,44.06,44.68,45.45,46.39,46.59,47.37,47.97,60.13,61.93,68.20,70.40,70.32,71.03,70.94,71.29,70.61,70.36,70.23,70.38,70.09,69.82,69.58,69.48,69.30,69.20,69.25,72.37,72.40,73.36,74.08,74.31,73.18,73.61,73.64,73.75,73.81,73.63,73.37,73.46,73.98,74.07,74.56,74.63,72.85,72.73,74.04,75.56,75.61,74.96,75.29,75.53,75.57,76.56,81.09,83.36,84.60,84.59,84.66,84.75,84.89,84.85,84.81,84.87,85.22,85.17,85.08,85.15,83.80,83.56,82.97,83.06,82.96,81.70,81.67,82.60,82.01,82.07,81.67,81.30,82.09,82.10,82.16,82.33,80.95,79.42,79.78,81.14,81.65,81.68,81.77,81.92,81.90,81.98,82.00,81.95,82.05,82.02,82.12,82.00,81.89,81.71,81.55,81.41,81.43,81.17,81.10,80.99,80.82,80.91,80.94,80.93,80.90,80.97,81.26,81.41,81.42,82.58,83.19,88.39,93.05,93.40,93.42,93.45,93.53,93.75,93.84,93.74,95.33,96.06,96.99,97.86,98.59,100.85,103.36,103.90,103.60,106.80,107.05,109.12,111.08,115.28,120.45,123.69,124.76,127.45,127.82,128.74,129.62,133.96,136.00,136.71,135.90,137.69,138.01,138.22,138.80,138.64,138.33,138.99,139.95,142.03,141.97,142.25,141.82,141.77,142.58,143.78,,,,,,,,
"Вермишель, лапша",1 кг,16.16,16.23,16.31,16.34,16.34,16.34,16.34,16.33,16.33,16.34,16.34,16.32,16.32,16.29,16.29,16.56,16.54,16.51,17.46,17.42,17.81,17.85,17.85,17.87,17.87,17.87,17.87,17.64,18.04,18.25,18.31,20.15,22.86,34.31,35.57,35.23,34.31,34.30,34.59,35.03,38.28,43.44,43.39,43.27,43.09,43.06,43.31,43.55,43.12,42.55,41.09,39.86,39.47,39.24,36.54,33.66,32.97,32.97,32.93,32.86,32.60,32.26,32.21,32.45,32.81,32.18,32.55,34.44,37.13,37.29,37.85,39.15,39.26,41.61,45.75,46.21,46.39,45.90,46.00,46.29,46.26,45.45,45.23,45.23,45.07,44.75,44.48,44.37,44.39,44.35,44.41,45.39,45.52,46.58,46.98,47.22,46.87,47.32,47.35,47.41,47.41,47.21,46.94,46.92,46.33,46.71,46.92,47.25,47.59,47.66,48.98,50.20,50.27,50.26,50.42,50.62,50.81,50.82,51.17,51.97,51.74,51.97,52.10,52.41,52.48,52.47,52.59,52.36,52.28,52.35,52.44,52.59,53.25,53.20,52.84,52.85,52.68,52.18,52.30,52.31,52.38,52.42,52.55,52.83,54.03,54.18,53.95,53.61,53.74,53.59,53.43,53.64,53.80,53.75,53.86,53.84,53.63,53.73,53.76,53.76,53.82,53.87,53.87,53.78,53.78,53.97,54.15,53.90,53.83,53.71,53.47,53.39,53.24,53.21,53.21,53.19,53.22,53.31,53.87,54.30,54.43,55.13,55.65,57.24,58.22,58.60,58.48,58.33,58.39,59.31,59.76,60.69,60.96,61.23,62.06,62.64,62.68,62.79,63.27,63.46,63.52,64.13,64.30,64.88,65.71,66.56,68.83,70.52,71.07,72.41,72.67,73.31,75.12,78.85,81.31,81.36,82.04,82.85,83.69,84.66,85.73,86.74,87.09,87.39,88.19,89.55,89.14,89.63,89.28,89.21,89.49,89.60,,,,,,,,
