product,measure,январь,февраль,март,апрель,май,июнь,июль,август,сентябрь,октябрь,ноябрь,декабрь
Рис среднезерный,1 кг,143.82,144.50,144.04,144.80,,,,,,,,
Рис длиннозерный,1 кг,152.63,151.26,150.56,151.99,,,,,,,,
Мука пшеничная высшего сорта,1 кг,66.11,67.35,67.66,67.81,,,,,,,,
Мука пшеничная первого сорта,1 кг,52.48,52.83,52.75,52.45,,,,,,,,
Крупа манная,1 кг,78.86,78.87,79.34,80.48,,,,,,,,
Пшено,1 кг,73.17,72.74,72.78,72.42,,,,,,,,
Хлеб из пшеничной муки 1 сорта,1 кг,65.83,66.05,66.47,66.43,,,,,,,,
Лепешка,1 кг,97.24,96.85,97.51,97.48,,,,,,,,
Макаронные изделия,1 кг,141.82,141.77,142.58,143.78,,,,,,,,
"Вермишель, лапша",1 кг,89.28,89.21,89.49,89.60,,,,,,,,
Говядина,1 кг,542.78,546.54,546.88,549.51,,,,,,,,
Свинина,1 кг,481.24,484.59,488.02,487.96,,,,,,,,
Баранина,1 кг,550.86,552.02,552.79,556.31,,,,,,,,
Конина,1 кг,482.28,481.25,481.60,482.57,,,,,,,,
Колбаса вареная,1 кг,483.30,482.40,482.99,484.23,,,,,,,,
Колбаса полукопченая,1 кг,480.36,480.50,482.25,483.79,,,,,,,,
"Сосиски, сардельки",1 кг,410.50,418.50,422.61,424.13,,,,,,,,
Рыба свежая и охлажденная,1 кг,367.91,373.17,375.01,387.53,,,,,,,,
Рыба замороженная неразделанная,1 кг,284.47,288.84,292.33,300.14,,,,,,,,
Сельдь соленая,1 кг,252.33,259.49,261.10,262.36,,,,,,,,
"Кефир, айран",1 литр,76.50,77.08,77.22,78.15,,,,,,,,
Сметана,1 литр,336.42,337.85,340.20,338.44,,,,,,,,
Сливки,1 литр,331.03,335.59,338.58,339.49,,,,,,,,
Творог жирный,1 кг,495.14,501.27,511.39,513.44,,,,,,,,
Творог нежирный,1 кг,332.61,333.18,334.94,339.53,,,,,,,,
Яйца куриные,10 штук,129.34,131.71,130.70,129.52,,,,,,,,
Масло сливочное,1 кг,500.06,500.72,501.43,505.81,,,,,,,,
Хлопковое масло,1 кг,167.14,164.09,162.88,160.78,,,,,,,,
Подсолнечное масло,1 кг,152.19,151.60,149.94,148.16,,,,,,,,
Яблоки,1 кг,84.61,87.53,99.82,113.57,,,,,,,,
Aбрикосы,1 кг,0.00,0.00,0.00,0.00,,,,,,,,
"Клубника, малина",1 кг,0.00,0.00,0.00,0.00,,,,,,,,
Вишня,1 кг,0.00,0.00,0.00,0.00,,,,,,,,
Виноград свежий,1 кг,0.00,0.00,0.00,0.00,,,,,,,,
Aпельсины,1 кг,223.18,205.12,196.71,201.36,,,,,,,,
Лимоны,1 кг,229.86,216.65,215.12,224.59,,,,,,,,
Дыни,1 кг,0.00,0.00,0.00,0.00,,,,,,,,
Aрбузы,1 кг,0.00,0.00,0.00,0.00,,,,,,,,
Виноград сушеный,1 кг,366.32,366.62,377.34,378.11,,,,,,,,
Яблоки сушеные,1 кг,137.35,137.35,141.57,142.84,,,,,,,,
Курага,1 кг,477.75,478.15,475.14,473.48,,,,,,,,
