product,measure,year,month,cost
Рис среднезерный,1 кг,2003,январь,23.76
Рис длиннозерный,1 кг,2003,январь,24.89
Мука пшеничная высшего сорта,1 кг,2003,январь,12.90
Мука пшеничная первого сорта,1 кг,2003,январь,10.08
Крупа манная,1 кг,2003,январь,20.37
Пшено,1 кг,2003,январь,17.41
Хлеб из пшеничной муки 1 сорта,1 кг,2003,январь,12.60
Лепешка,1 кг,2003,январь,13.61
Макаронные изделия,1 кг,2003,январь,19.15
"Вермишель, лапша",1 кг,2003,январь,15.17
Говядина,1 кг,2003,январь,82.80
Свинина,1 кг,2003,январь,93.11
Баранина,1 кг,2003,январь,96.11
Конина,1 кг,2003,январь,79.71
Колбаса вареная,1 кг,2003,январь,105.15
Колбаса полукопченая,1 кг,2003,январь,118.67
"Сосиски, сардельки",1 кг,2003,январь,102.77
Рыба свежая и охлажденная,1 кг,2003,январь,58.19
Рыба замороженная неразделанная,1 кг,2003,январь,68.00
Сельдь соленая,1 кг,2003,январь,71.71
"Кефир, айран",1 литр,2003,январь,14.21
Сметана,1 литр,2003,январь,70.57
Сливки,1 литр,2003,январь,41.99
Творог жирный,1 кг,2003,январь,40.85
Творог нежирный,1 кг,2003,январь,21.87
Яйца куриные,10 штук,2003,январь,34.54
Масло сливочное,1 кг,2003,январь,134.72
Хлопковое масло,1 кг,2003,январь,45.66
Подсолнечное масло,1 кг,2003,январь,56.11
Яблоки,1 кг,2003,январь,19.24
Aбрикосы,1 кг,2003,январь,0.00
"Клубника, малина",1 кг,2003,январь,0.00
Вишня,1 кг,2003,январь,0.00
Виноград свежий,1 кг,2003,январь,70.29
Aпельсины,1 кг,2003,январь,69.57
Лимоны,1 кг,2003,январь,62.56
Дыни,1 кг,2003,январь,15.13
Aрбузы,1 кг,2003,январь,0.00
Виноград сушеный,1 кг,2003,январь,44.52
Яблоки сушеные,1 кг,2003,январь,15.13
Курага,1 кг,2003,январь,53.76
Орехи грецкие,1 кг,2003,январь,48.34
Капуста свежая,1 кг,2003,январь,6.51
Лук репчатый,1 кг,2003,январь,6.72
Свекла,1 кг,2003,январь,6.63
Морковь,1 кг,2003,январь,6.51
Огурцы свежие,1 кг,2003,январь,54.09
Тыква,1 кг,2003,январь,6.52
Лук зеленый,1 кг,2003,январь,14.69
Помидоры свежие,1 кг,2003,январь,56.82
"Редиска, редька",1 кг,2003,январь,4.86
Баклажаны,1 кг,2003,январь,5.00
Горох,1 кг,2003,январь,21.12
Чеснок,1 кг,2003,январь,29.97
Томатная паста,1 кг,2003,январь,40.89
Картофель,1 кг,2003,январь,9.04
Сахар-песок,1 кг,2003,январь,22.03
Мед пчелиный натуральный,1 кг,2003,январь,93.41
Соль,1 кг,2003,январь,4.67
Майонез,1 кг,2003,январь,78.56
Дрожжи,50 гр.,2003,январь,8.10
Кофе натуральный растворимый,100 гр.,2003,январь,62.49
Чай черный байховый,100 гр.,2003,январь,19.77
Вода минеральная,"0,5 л.",2003,январь,5.11
Водка крепостью 40 градусов,"0,5 л.",2003,январь,33.90
Коньяк отечественный,"0,5 л.",2003,январь,114.27
Вино игристое отечественное,"0,7 л.",2003,январь,91.29
