,product,measure,month,cost
0,Рис среднезерный,1 кг,январь,23.76
1,Рис длиннозерный,1 кг,январь,24.89
2,Мука пшеничная высшего сорта,1 кг,январь,12.90
3,Мука пшеничная первого сорта,1 кг,январь,10.08
4,Крупа манная,1 кг,январь,20.37
5,Пшено,1 кг,январь,17.41
6,Хлеб из пшеничной муки 1 сорта,1 кг,январь,12.60
7,Лепешка,1 кг,январь,13.61
8,Макаронные изделия,1 кг,январь,19.15
9,"Вермишель, лапша",1 кг,январь,15.17
10,Говядина,1 кг,январь,82.80
11,Свинина,1 кг,январь,93.11
12,Баранина,1 кг,январь,96.11
13,Конина,1 кг,январь,79.71
14,Колбаса вареная,1 кг,январь,105.15
15,Колбаса полукопченая,1 кг,январь,118.67
16,"Сосиски, сардельки",1 кг,январь,102.77
17,Рыба свежая и охлажденная,1 кг,январь,58.19
18,Рыба замороженная неразделанная,1 кг,январь,68.00
19,Сельдь соленая,1 кг,январь,71.71
20,"Кефир, айран",1 литр,январь,14.21
21,Сметана,1 литр,январь,70.57
22,Сливки,1 литр,январь,41.99
23,Творог жирный,1 кг,январь,40.85
24,Творог нежирный,1 кг,январь,21.87
25,Яйца куриные,10 штук,январь,34.54
26,Масло сливочное,1 кг,январь,134.72
27,Хлопковое масло,1 кг,январь,45.66
28,Подсолнечное масло,1 кг,январь,56.11
29,Яблоки,1 кг,январь,19.24
30,Aбрикосы,1 кг,январь,0.00
31,"Клубника, малина",1 кг,январь,0.00
32,Вишня,1 кг,январь,0.00
33,Виноград свежий,1 кг,январь,70.29
34,Aпельсины,1 кг,январь,69.57
35,Лимоны,1 кг,январь,62.56
36,Дыни,1 кг,январь,15.13
37,Aрбузы,1 кг,январь,0.00
38,Виноград сушеный,1 кг,январь,44.52
39,Яблоки сушеные,1 кг,январь,15.13
40,Курага,1 кг,январь,53.76
41,Орехи грецкие,1 кг,январь,48.34
42,Капуста свежая,1 кг,январь,6.51
43,Лук репчатый,1 кг,январь,6.72
44,Свекла,1 кг,январь,6.63
45,Морковь,1 кг,январь,6.51
46,Огурцы свежие,1 кг,январь,54.09
47,Тыква,1 кг,январь,6.52
48,Лук зеленый,1 кг,январь,14.69
49,Помидоры свежие,1 кг,январь,56.82
50,"Редиска, редька",1 кг,январь,4.86
51,Баклажаны,1 кг,январь,5.00
52,Горох,1 кг,январь,21.12
53,Чеснок,1 кг,январь,29.97
54,Томатная паста,1 кг,январь,40.89
55,Картофель,1 кг,январь,9.04
56,Сахар-песок,1 кг,январь,22.03
57,Мед пчелиный натуральный,1 кг,январь,93.41
58,Соль,1 кг,январь,4.67
59,Майонез,1 кг,январь,78.56
60,Дрожжи,50 гр.,январь,8.10
61,Кофе натуральный растворимый,100 гр.,январь,62.49
62,Чай черный байховый,100 гр.,январь,19.77
63,Вода минеральная,"0,5 л.",январь,5.11
64,Водка крепостью 40 градусов,"0,5 л.",январь,33.90
65,Коньяк отечественный,"0,5 л.",январь,114.27
66,Вино игристое отечественное,"0,7 л.",январь,91.29
67,Сигареты с фильтром,1 пачка,январь,21.96
68,Цемент,50 кг,январь,87.83
69,"Электроэнергия, основной тариф",1 кВт. час,январь,0.62
70,Природный газ,за 1 человека в месяц,январь,36.98
71,Сжиженный газ ,1 кг,январь,14.78
72,Уголь,1 тонна,январь,1 176.02
73,Бензин автомобильной марки А-92,1 литр,январь,16.36
74,Бензин автомобильной марки А-80,1 литр,январь,12.32
75,Дизельное топливо,1 литр,январь,10.39
76,Рис среднезерный,1 кг,февраль,23.76
77,Рис длиннозерный,1 кг,февраль,25.23
78,Мука пшеничная высшего сорта,1 кг,февраль,12.90
79,Мука пшеничная первого сорта,1 кг,февраль,9.97
80,Крупа манная,1 кг,февраль,19.99
81,Пшено,1 кг,февраль,17.49
82,Хлеб из пшеничной муки 1 сорта,1 кг,февраль,12.60
83,Лепешка,1 кг,февраль,13.59
84,Макаронные изделия,1 кг,февраль,19.13
85,"Вермишель, лапша",1 кг,февраль,14.92
86,Говядина,1 кг,февраль,83.61
87,Свинина,1 кг,февраль,92.50
88,Баранина,1 кг,февраль,98.05
89,Конина,1 кг,февраль,82.53
90,Колбаса вареная,1 кг,февраль,105.47
91,Колбаса полукопченая,1 кг,февраль,121.43
92,"Сосиски, сардельки",1 кг,февраль,103.49
93,Рыба свежая и охлажденная,1 кг,февраль,55.08
94,Рыба замороженная неразделанная,1 кг,февраль,64.67
95,Сельдь соленая,1 кг,февраль,71.48
96,"Кефир, айран",1 литр,февраль,15.44
97,Сметана,1 литр,февраль,74.70
98,Сливки,1 литр,февраль,39.79
99,Творог жирный,1 кг,февраль,44.31
100,Творог нежирный,1 кг,февраль,22.17
101,Яйца куриные,10 штук,февраль,30.62
102,Масло сливочное,1 кг,февраль,138.03
103,Хлопковое масло,1 кг,февраль,46.17
104,Подсолнечное масло,1 кг,февраль,56.42
105,Яблоки,1 кг,февраль,21.54
106,Aбрикосы,1 кг,февраль,0.00
107,"Клубника, малина",1 кг,февраль,0.00
108,Вишня,1 кг,февраль,0.00
109,Виноград свежий,1 кг,февраль,86.14
110,Aпельсины,1 кг,февраль,69.62
111,Лимоны,1 кг,февраль,60.61
112,Дыни,1 кг,февраль,17.04
113,Aрбузы,1 кг,февраль,0.00
114,Виноград сушеный,1 кг,февраль,44.67
115,Яблоки сушеные,1 кг,февраль,15.21
116,Курага,1 кг,февраль,54.05
117,Орехи грецкие,1 кг,февраль,48.20
118,Капуста свежая,1 кг,февраль,8.46
119,Лук репчатый,1 кг,февраль,7.31
120,Свекла,1 кг,февраль,6.74
121,Морковь,1 кг,февраль,6.86
122,Огурцы свежие,1 кг,февраль,56.98
123,Тыква,1 кг,февраль,6.60
124,Лук зеленый,1 кг,февраль,19.81
125,Помидоры свежие,1 кг,февраль,47.69
126,"Редиска, редька",1 кг,февраль,4.72
127,Баклажаны,1 кг,февраль,0.00
128,Горох,1 кг,февраль,20.98
129,Чеснок,1 кг,февраль,31.85
130,Томатная паста,1 кг,февраль,41.18
131,Картофель,1 кг,февраль,9.14
132,Сахар-песок,1 кг,февраль,22.63
133,Мед пчелиный натуральный,1 кг,февраль,94.16
134,Соль,1 кг,февраль,4.67
135,Майонез,1 кг,февраль,78.57
136,Дрожжи,50 гр.,февраль,8.10
137,Кофе натуральный растворимый,100 гр.,февраль,62.49
138,Чай черный байховый,100 гр.,февраль,19.80
139,Вода минеральная,"0,5 л.",февраль,5.11
140,Водка крепостью 40 градусов,"0,5 л.",февраль,33.93
141,Коньяк отечественный,"0,5 л.",февраль,114.65
142,Вино игристое отечественное,"0,7 л.",февраль,91.49
143,Сигареты с фильтром,1 пачка,февраль,21.96
144,Цемент,50 кг,февраль,87.83
145,"Электроэнергия, основной тариф",1 кВт. час,февраль,0.62
146,Природный газ,за 1 человека в месяц,февраль,36.99
147,Сжиженный газ ,1 кг,февраль,13.49
148,Уголь,1 тонна,февраль,1 110.60
149,Бензин автомобильной марки А-92,1 литр,февраль,16.27
150,Бензин автомобильной марки А-80,1 литр,февраль,12.56
151,Дизельное топливо,1 литр,февраль,9.99
152,Рис среднезерный,1 кг,март,23.77
153,Рис длиннозерный,1 кг,март,25.17
154,Мука пшеничная высшего сорта,1 кг,март,12.97
155,Мука пшеничная первого сорта,1 кг,март,9.99
156,Крупа манная,1 кг,март,19.99
157,Пшено,1 кг,март,17.68
158,Хлеб из пшеничной муки 1 сорта,1 кг,март,12.60
159,Лепешка,1 кг,март,13.57
160,Макаронные изделия,1 кг,март,19.12
161,"Вермишель, лапша",1 кг,март,14.92
162,Говядина,1 кг,март,85.24
163,Свинина,1 кг,март,93.07
164,Баранина,1 кг,март,99.90
165,Конина,1 кг,март,84.54
166,Колбаса вареная,1 кг,март,106.98
167,Колбаса полукопченая,1 кг,март,121.44
168,"Сосиски, сардельки",1 кг,март,103.97
169,Рыба свежая и охлажденная,1 кг,март,57.29
170,Рыба замороженная неразделанная,1 кг,март,64.67
171,Сельдь соленая,1 кг,март,71.79
172,"Кефир, айран",1 литр,март,15.46
173,Сметана,1 литр,март,74.85
174,Сливки,1 литр,март,39.59
175,Творог жирный,1 кг,март,44.36
176,Творог нежирный,1 кг,март,22.33
177,Яйца куриные,10 штук,март,26.80
178,Масло сливочное,1 кг,март,137.80
179,Хлопковое масло,1 кг,март,47.22
180,Подсолнечное масло,1 кг,март,56.75
181,Яблоки,1 кг,март,23.80
182,Aбрикосы,1 кг,март,0.00
183,"Клубника, малина",1 кг,март,0.00
184,Вишня,1 кг,март,0.00
185,Виноград свежий,1 кг,март,96.78
186,Aпельсины,1 кг,март,71.13
187,Лимоны,1 кг,март,65.45
188,Дыни,1 кг,март,20.46
189,Aрбузы,1 кг,март,0.00
